method,OA,AA,kappa,train_time_s,inference_time_s,n_qubits,n_epochs,dr_fit_time_s,section,hilbert_dim,pca_variance_pct,vqc_params,n_layers,config
PCA,98.38956856022234,97.48210536345368,97.86019985280733,242.78592324256897,96.66090416908264,8.0,8.0,0.009016275405883789,S14_DR,,,,,
Kernel-PCA,97.91942647860984,96.73750825613678,97.22935877046277,239.01674032211304,99.83400630950928,8.0,8.0,2.438337564468384,S14_DR,,,,,
FastICA,98.9791942647861,97.8995014305046,98.64648793463769,243.19491457939148,101.99385929107666,8.0,8.0,0.0984494686126709,S14_DR,,,,,
FactorAnalysis,98.38697109015818,98.08007173203558,97.86270697080809,247.4546353816986,98.88091492652893,8.0,8.0,0.22662067413330078,S14_DR,,,,,
TruncatedSVD,99.1817969297904,98.74072966727063,98.91526100280842,263.16808128356934,203.33550262451172,8.0,8.0,0.014123201370239258,S14_DR,,,,,
RandProjection,99.01815631574846,98.27017410327701,98.69812223296542,231.48249316215515,94.8059515953064,8.0,8.0,0.00468754768371582,S14_DR,,,,,
AutoEncoder,98.04929998181771,96.64065504527562,97.407624848073,225.57747769355774,94.48886752128601,8.0,8.0,0.17779803276062012,S14_DR,,,,,
QHSA-2q,98.05449492194602,97.19848954529337,97.41226901952614,207.59556794166565,,2.0,,,S15_QubitSweep,4.0,94.30039978027344,12.0,2.0,
QHSA-4q,99.08309306735241,98.52695699903751,98.78505478858199,212.55807447433472,,4.0,,,S15_QubitSweep,16.0,99.41902923583984,24.0,2.0,
QHSA-6q,97.16096521987583,96.6027160289225,96.21609285690795,220.0642213821411,,6.0,,,S15_QubitSweep,64.0,99.69046020507812,36.0,2.0,
QHSA-8q,98.55580664432843,97.58893683701119,98.0830842043746,227.78549695014954,,8.0,,,S15_QubitSweep,256.0,99.80909729003906,48.0,2.0,
QHSA-10q,98.45450531182628,97.58427108199938,97.94790625871497,248.53966546058655,,10.0,,,S15_QubitSweep,1024.0,99.86261749267578,60.0,2.0,
QHSA-12q,98.40255591054313,97.603824599444,97.88334210935169,273.5343816280365,,12.0,,,S15_QubitSweep,4096.0,99.89552307128906,72.0,2.0,
QHSA-4q-1L,98.28047481752773,97.73420618294543,97.71614198353208,207.25953793525696,,4.0,,,S15_LayerSweep,,,12.0,1.0,
QHSA-4q-2L,99.10906776799398,98.43001001069904,98.81870148104375,215.7043595314026,,4.0,,,S15_LayerSweep,,,24.0,2.0,
QHSA-4q-3L,98.7038624379854,97.42481706904056,98.2803864288634,246.08315014839172,,4.0,,,S15_LayerSweep,,,36.0,3.0,
Config-A,99.90649107769033,99.72609510295689,99.87609971333556,0.0,,,,,S16_ArchPlacement,,,,,A: 3D-CNN+PCA (current)
B: MLP+PCA (joint),79.49557131354061,68.35908326215,71.63232268913677,35.34605073928833,,,,,S16_ArchPlacement,,,,,B: MLP+PCA (joint)
C: MLP-PCA+VQC-Raw (reversed),78.79165692615393,66.16025428335902,70.58390191561297,39.12378668785095,,,,,S16_ArchPlacement,,,,,C: MLP-PCA+VQC-Raw (reversed)
D: Shared-Enc (joint),76.9474531806021,64.0754824441903,67.92766343736544,41.00776934623718,,,,,S16_ArchPlacement,,,,,D: Shared-Enc (joint)
PCA (baseline),98.73762954881946,98.12327094288358,98.32396569658532,246.9857885837555,,,,,S17_FeatSel,,,,,
Variance,98.55580664432843,97.63426303977613,98.08180845638023,243.2560474872589,,,,,S17_FeatSel,,,,,
ANOVA F-score,98.24670770669368,97.59748211897858,97.67211590377104,238.18379259109497,,,,,S17_FeatSel,,,,,
Mutual Info,98.77659159978181,98.42143428624374,98.38004355141378,236.03346395492554,,,,,S17_FeatSel,,,,,
DivMin Greedy,98.69347255772877,97.70874741079423,98.26535467300168,232.96028304100037,,,,,S17_FeatSel,,,,,
Multi-obs (X+Y+Z),97.47785656770306,97.00483523854376,96.63305361107591,255.25229573249817,,,,,S18_AttentionVariant,,,,,
Entangled (Z+ZZ),97.97657082002131,97.06398427397592,97.30806375240759,248.07817721366882,,,,,S18_AttentionVariant,,,,,
Softmax-Z,98.77659159978181,97.85616954363097,98.37977367408902,237.98590874671936,,,,,S18_AttentionVariant,,,,,
SVM (RBF),88.54255954700122,84.94526285122616,84.6052878612399,,,,,,Baseline,,,,,
HybridSN,99.76882516428999,99.49627160996245,99.69369920329937,,,,,,Baseline,,,,,
QHSA-Net,99.90649107769033,99.72609510295689,99.87609971333556,,,,,,Baseline,,,,,
