model,dataset,metric,mean,std,n_seeds
QHSA-Net,PaviaU,OA,98.73574074492822,0.14508131184427087,4
QHSA-Net,PaviaU,AA,98.03610322591616,0.1596335176421884,4
QHSA-Net,PaviaU,kappa,98.3238791290263,0.19350087167788557,4
QHSA-Net,PaviaU,mac_f1,98.11840466331859,0.22088397526135894,4
SSRN,PaviaU,OA,99.87965676015186,0.053385289487298294,3
SSRN,PaviaU,AA,99.75955255478708,0.10267315761574763,3
SSRN,PaviaU,kappa,99.8404788564754,0.07082060927888376,3
SSRN,PaviaU,mac_f1,99.77924247686418,0.11169960301486997,3
DBDA,PaviaU,OA,96.26743551780564,0.0,1
DBDA,PaviaU,AA,93.63518661142584,0.0,1
DBDA,PaviaU,kappa,95.04229270434892,0.0,1
DBDA,PaviaU,mac_f1,94.03210331627336,0.0,1
3D-CNN-Only,PaviaU,OA,94.45044972084524,0.32364220484068745,3
3D-CNN-Only,PaviaU,AA,91.1084850856853,0.862500040145518,3
3D-CNN-Only,PaviaU,kappa,92.6171829640265,0.41887533205602345,3
3D-CNN-Only,PaviaU,mac_f1,91.52845833521307,1.1923568936069588,3
HybridSN,PaviaU,OA,88.66204316995247,0.0,1
HybridSN,PaviaU,AA,83.54524353006656,0.0,1
HybridSN,PaviaU,kappa,84.91675370640066,0.0,1
HybridSN,PaviaU,mac_f1,84.04300750141722,0.0,1
SVM,PaviaU,OA,79.19945972622665,0.0,1
SVM,PaviaU,AA,68.61663358107675,0.0,1
SVM,PaviaU,kappa,71.61816629108469,0.0,1
SVM,PaviaU,mac_f1,69.7677581733517,0.0,1
QHSA-Net,IndianPines,OA,89.5149348069491,0.6656799560221497,3
QHSA-Net,IndianPines,AA,80.65040806255239,1.1574461998773031,3
QHSA-Net,IndianPines,kappa,88.03398490817597,0.7676380497420418,3
QHSA-Net,IndianPines,mac_f1,83.53540029067605,1.458990857304201,3
SSRN,IndianPines,OA,98.72142160580779,0.3424743878920621,3
SSRN,IndianPines,AA,97.14144820514589,1.115202260891778,3
SSRN,IndianPines,kappa,98.54247517114636,0.39011598001949527,3
SSRN,IndianPines,mac_f1,97.40771854217907,0.8998390350868355,3
DBDA,IndianPines,OA,55.477299815798034,0.0,1
DBDA,IndianPines,AA,34.09190213895588,0.0,1
DBDA,IndianPines,kappa,48.16513733252427,0.0,1
DBDA,IndianPines,mac_f1,32.87420126463445,0.0,1
3D-CNN-Only,IndianPines,OA,51.00227543612525,0.8351704701503173,3
3D-CNN-Only,IndianPines,AA,27.000797261134675,0.09237159519175557,3
3D-CNN-Only,IndianPines,kappa,41.35562859615211,0.7662944298392836,3
3D-CNN-Only,IndianPines,mac_f1,22.817817739368213,0.8503260331263065,3
HybridSN,IndianPines,OA,44.26265034131542,0.0,1
HybridSN,IndianPines,AA,22.340696259545346,0.0,1
HybridSN,IndianPines,kappa,31.971414911170093,0.0,1
HybridSN,IndianPines,mac_f1,15.683725011909555,0.0,1
SVM,IndianPines,OA,79.83530176617185,0.0,1
SVM,IndianPines,AA,74.5175838013757,0.0,1
SVM,IndianPines,kappa,76.99486604131805,0.0,1
SVM,IndianPines,mac_f1,75.96373421339234,0.0,1
QHSA-Net,Salinas,OA,97.69459152540054,0.0982174345300648,3
QHSA-Net,Salinas,AA,98.91442742736854,0.032660588632219156,3
QHSA-Net,Salinas,kappa,97.43380156377582,0.10873403945922915,3
QHSA-Net,Salinas,mac_f1,98.8833753093893,0.057925136262505186,3
SSRN,Salinas,OA,99.94800859226423,0.03272961379662206,3
SSRN,Salinas,AA,99.95138300184131,0.05443433427835208,3
SSRN,Salinas,kappa,99.94210876582524,0.0364455665244892,3
SSRN,Salinas,mac_f1,99.95794492718278,0.04299395886900408,3
DBDA,Salinas,OA,87.95304354964495,0.0,1
DBDA,Salinas,AA,87.53825775370376,0.0,1
DBDA,Salinas,kappa,86.51928059640133,0.0,1
DBDA,Salinas,mac_f1,87.59475139727995,0.0,1
3D-CNN-Only,Salinas,OA,87.90447262926023,1.678221048384815,3
3D-CNN-Only,Salinas,AA,88.43105693875962,2.7731985626500926,3
3D-CNN-Only,Salinas,kappa,86.47590022163901,1.8959747373100293,3
3D-CNN-Only,Salinas,mac_f1,88.72583466128378,3.2104838712632873,3
HybridSN,Salinas,OA,89.54767475269877,0.0,1
HybridSN,Salinas,AA,91.49997161179066,0.0,1
HybridSN,Salinas,kappa,88.35367598359818,0.0,1
HybridSN,Salinas,mac_f1,91.75901905339978,0.0,1
SVM,Salinas,OA,93.18844148914337,0.0,1
SVM,Salinas,AA,96.6596727828074,0.0,1
SVM,Salinas,kappa,92.401203969343,0.0,1
SVM,Salinas,mac_f1,96.72995358826813,0.0,1
