method,OA,AA,kappa,mac_prec,mac_f1,macro_auc,dr_time_s,train_time_s,infer_time_s
PCA,98.01033793085536,97.0124488858931,97.36004736988136,97.25204935031769,97.1262716596524,99.9309833143133,0.06336307525634766,860.045120716095,54.80034565925598
KernelPCA,97.94799864931556,97.08164059096993,97.27787567163449,97.16171179058522,97.10911617542996,99.93722496364089,3.01181960105896,886.2446346282959,64.21185421943665
FastICA,98.08826203278007,97.2166074075577,97.4636864917781,97.38489299481581,97.29559185905568,99.94658720244361,0.16132640838623047,961.4880228042603,68.74861335754395
FactorAnalysis,98.22333047611626,97.49689909054078,97.64420396522333,97.52948304455116,97.51044061462898,99.95502233351559,0.680762529373169,969.280681848526,72.92470240592957
TruncSVD,97.98955817034208,96.96353274531901,97.33277821264782,97.198458118998,97.07919208919134,99.93697796173235,0.24126744270324707,1016.140606880188,67.2703263759613
RandProj,97.7194212836697,96.58713510875613,96.97341407252671,96.88847551639795,96.73238266526495,99.91806623938643,0.1867825984954834,996.0068383216858,73.22017168998718
AutoEncoder,98.08566456271592,97.17019904160185,97.45956757539453,97.39681645180764,97.27794538083452,99.94160679077308,1.6229138374328613,990.9558138847351,74.59706950187683
FS_Variance,98.04670251175355,97.22251331223411,97.40969907259826,97.06449964560206,97.13432162513449,99.93521756349354,0.060721397399902344,997.8260226249695,71.32223963737488
FS_ANOVA,98.02592275124029,97.23644109880257,97.38143952315889,97.12518890553581,97.1746642098419,99.93824115407193,0.07522201538085938,967.3752491474152,66.81648683547974
FS_MutualInfo,98.00254552066288,97.09888179519595,97.35106878120845,97.0434118052772,97.05965370637415,99.93730228445786,1.7493185997009277,896.8989503383636,65.22159433364868
FS_DivMin,97.9454011792514,97.09113303502858,97.27448713104756,97.07641699617407,97.07841529915115,99.92753452057038,0.2755608558654785,893.544429063797,59.00463843345642
